gps_time,lax,lay,laz,avx,avy,avz,x,y,z,w
1429447989.75218,-0.356766405968927,-0.132063469089149,-9.97317210306525,0.000351191993104294,0.000762444222345948,0.000760192226152867,-0.00792409013956785,-0.0163505896925926,-0.677749454975128,0.735068380832672
1429447989.76218,-0.264860823677108,-0.0874463104611728,-9.62486895300448,-0.00208257022313774,0.00113218592014164,0.000416039809351787,-0.00791782326996326,-0.0163276754319668,-0.677741229534149,0.735076606273651
1429447989.77718,-0.341522696140408,-0.110768898256449,-9.95155531454086,-0.00131627358496189,6.17669575149193e-05,0.00244516250677407,-0.00792069360613823,-0.0163270719349384,-0.677744507789612,0.735073506832123
1429447989.78218,-0.21557152678594,-0.089137816345226,-9.61392144253254,-0.00027385086286813,-0.000762458192184567,0.00210092379711568,-0.00791812967509031,-0.0163100473582745,-0.677733182907104,0.735084295272827
1429447989.79218,-0.336187728320621,-0.137112441308098,-9.8868125009954,-0.00137139810249209,0.00055701460223645,0.00294193904846907,-0.0079186474904418,-0.0163072906434536,-0.67773300409317,0.735084652900696
1429447989.80718,-0.265350853950065,-0.143174727888592,-9.73244260801673,-0.00057460943935439,-0.000604748202022165,0.00232371082529426,-0.00790804531425238,-0.0163121372461319,-0.677730798721313,0.735086619853973
1429447989.81218,-0.36378424884174,-0.139389628992463,-9.82217957756519,-0.0017465918790549,-0.00233473791740835,0.00146943866275251,-0.00792549550533295,-0.0163141302764416,-0.677735924720764,0.735081672668457
1429447989.82218,-0.335287893404067,-0.138252058063587,-9.87244612199068,-0.000590118870604783,-0.00421763118356466,0.00208995025604963,-0.00793943740427494,-0.0163366962224245,-0.677738964557648,0.73507821559906
1429447989.83718,-0.319950039018691,-0.115644842862897,-9.70599708416164,0.000634672760497779,0.00127433286979795,0.00286220014095306,-0.00792132597416639,-0.0163245107978582,-0.677733302116394,0.735083878040314
1429447989.84218,-0.351444662956893,-0.135944603105122,-9.96858360623121,0.000225818090257235,0.0008889987366274,0.00111452594865113,-0.00791311170905828,-0.0163265690207481,-0.67773962020874,0.735078096389771
1429447989.85218,-0.238062997519318,-0.102136998649966,-9.63354559593499,-0.00212577893398702,0.0014278010930866,0.00288089946843684,-0.00790638756006956,-0.0162981264293194,-0.677725851535797,0.735091626644135
1429447989.86718,-0.338088776168972,-0.129691177866701,-9.94731051657796,-0.00166533736046404,-0.00177569407969713,0.00149775517638773,-0.00790947489440441,-0.0163055453449488,-0.677734136581421,0.735083699226379
1429447989.87218,-0.206356192135159,-0.118631968914904,-9.63040086816847,-5.72896788071375e-05,-0.0018596031004563,0.000788852048572153,-0.00790220312774181,-0.0163017399609089,-0.677723586559296,0.735093533992767
