gps_time,roll,pitch,yaw
1429448364.89595,0,-2.731842,12.87227
1429448365.02474,0,-3.061493,12.4387
1429448365.23815,0,-3.586243,12.27698
1429448365.24312,0,-2.967773,12.45702
1429448365.29679,0,-3.672577,12.35987
1429448365.40001,0,-2.917328,12.28378
1429448365.50227,0,-3.40271,12.0904
1429448365.59947,0,-2.66861,11.95837
1429448365.69772,0,-2.775452,12.15728
1429448365.7982,0,-3.55545,11.92881
1429448365.89921,0,-3.761658,11.6729
1429448366.01969,0,-3.110504,11.83169
1429448366.23658,0,-3.185852,12.00037
1429448366.24387,0,-3.517487,12.12411
1429448366.29726,0,-3.289001,11.9259
1429448366.40553,0,-3.264313,11.81516
1429448366.503,0,-3.337555,11.87151
1429448366.59945,0,-3.554993,11.85596
1429448366.69666,0,-3.518036,11.65674
1429448366.80145,0,-3.199188,11.96222
1429448366.89755,0,-3.207611,11.81799
1429448367.02456,0,-2.862762,11.8198
1429448367.25075,0,-3.60849,11.86072
1429448367.25985,0,-3.582001,11.86283
1429448367.30629,0,-3.110931,11.82229
1429448367.40125,0,-3.556396,11.82943
1429448367.50069,0,-3.744415,11.72155
1429448367.60123,0,-3.299469,11.89847
1429448367.69655,0,-3.642731,11.99788
1429448367.79943,0,-3.846649,11.64367
1429448367.89798,0,-3.865234,11.55224
1429448368.03453,0,-3.317657,11.98494
1429448368.26972,0,-3.29306,11.72464
1429448368.27962,0,-3.868225,11.62121
1429448368.29719,0,-3.477783,11.75922
1429448368.40153,0,-3.642303,11.57901
1429448368.50277,0,-3.201996,11.66603
1429448368.60119,0,-3.254669,11.62339
1429448368.69773,0,-3.637482,11.46246
1429448368.79814,0,-3.678741,11.54525
1429448368.89822,0,-3.434509,11.44843
1429448369.01877,0,-3.109558,11.66595
1429448369.25911,0,-3.198792,11.41881
1429448369.26836,0,-4.121002,11.34431
1429448369.3032,0,-3.244385,11.31423
1429448369.40366,0,-3.618652,11.14893
1429448369.50032,0,-4.603027,10.95743
1429448369.60011,0,-3.646667,10.37895
1429448369.69628,0,-3.619171,10.39751
1429448369.8007,0,-3.702576,10.02984
1429448369.89636,0,-3.314087,9.893755
1429448370.03255,0,-3.147308,9.40825
1429448370.23125,0,-3.459015,8.961815
1429448370.24233,0,-3.76358,8.471787
1429448370.3071,0,-2.836456,8.050786
1429448370.40063,0,-3.314697,7.37073
1429448370.50081,0,-3.41922,6.610521
1429448370.59984,0,-3.321777,5.993629
1429448370.70004,0,-3.214142,5.211139
1429448370.79825,0,-4.154572,4.452667
1429448370.89795,0,-3.451691,3.503906
1429448371.0217,0,-3.541504,2.589741
1429448371.25861,0,-3.112732,1.713804
1429448371.26531,0,-3.161133,0.9116431
1429448371.30171,0,-3.500305,359.6973
1429448371.40071,0,-3.234955,358.9803
1429448371.50353,0,-2.99884,357.8565
1429448371.60048,0,-3.825867,356.6181
1429448371.69744,0,-3.090363,355.7231
1429448371.79801,0,-3.08551,354.7168
1429448371.89753,0,-3.063995,353.5523
1429448372.02472,0,-2.741211,352.4889
1429448372.2375,0,-3.341492,351.3294
1429448372.24445,0,-2.664948,350.3875
1429448372.29676,0,-3.139862,349.2077
1429448372.3996,0,-3.22934,347.7411
1429448372.50323,0,-3.206635,347.0149
1429448372.60062,0,-3.177429,345.6757
1429448372.69637,0,-3.686737,344.6045
1429448372.79948,0,-3.516449,343.3911
1429448372.89797,0,-3.192932,342.2952
